iter	Passed	Remaining
0	142	142353
1	143	71386
2	143	47747
3	144	35913
4	144	28801
5	145	24053
6	145	20672
7	146	18140
8	146	16173
9	147	14604
10	148	13308
11	148	12241
12	149	11366
13	150	10581
14	150	9907
15	151	9317
16	152	8794
17	152	8328
18	153	7910
19	153	7544
20	154	7212
21	155	6905
22	155	6620
23	156	6365
24	157	6125
25	157	5903
26	158	5703
27	158	5512
28	159	5336
29	159	5171
30	160	5020
31	161	4883
32	162	4760
33	163	4635
34	163	4514
35	164	4402
36	165	4298
37	165	4199
38	166	4103
39	167	4014
40	167	3926
41	168	3845
42	169	3767
43	169	3691
44	170	3625
45	171	3554
46	171	3485
47	172	3418
48	172	3357
49	173	3297
50	174	3243
51	175	3195
52	175	3143
53	176	3097
54	177	3052
55	178	3005
56	179	2962
57	179	2920
58	180	2875
59	180	2832
60	181	2792
61	181	2752
62	182	2714
63	183	2681
64	183	2645
65	184	2610
66	185	2577
67	185	2543
68	186	2511
69	186	2480
70	187	2451
71	188	2424
72	188	2396
73	189	2372
74	190	2347
75	191	2325
76	191	2300
77	192	2275
78	193	2255
79	194	2232
80	194	2209
81	195	2185
82	195	2163
83	196	2141
84	196	2119
85	197	2098
86	198	2081
87	198	2061
88	199	2041
89	200	2023
90	200	2004
91	201	1986
92	201	1968
93	202	1950
94	202	1933
95	203	1917
96	204	1901
97	204	1885
98	205	1870
99	206	1856
100	206	1841
101	207	1826
102	208	1811
103	208	1797
104	209	1782
105	209	1767
106	210	1753
107	210	1742
108	211	1729
109	212	1716
110	212	1703
111	213	1691
112	213	1679
113	214	1667
114	215	1656
115	215	1644
116	216	1634
117	217	1623
118	217	1611
119	218	1603
120	219	1594
121	220	1584
122	220	1573
123	221	1563
124	221	1552
125	222	1541
126	222	1531
127	223	1521
128	223	1511
129	224	1502
130	225	1494
131	225	1485
132	226	1476
133	227	1469
134	227	1460
135	228	1452
136	229	1444
137	230	1437
138	230	1428
139	231	1420
140	231	1413
141	232	1405
142	233	1397
143	233	1390
144	234	1382
145	234	1374
146	235	1366
147	236	1359
148	236	1351
149	237	1344
150	237	1336
151	238	1329
152	238	1321
153	239	1314
154	239	1307
155	240	1300
156	241	1294
157	241	1288
158	242	1282
159	243	1276
160	243	1270
161	244	1264
162	244	1257
163	245	1251
164	245	1244
165	246	1238
166	247	1233
167	247	1226
168	248	1220
169	248	1215
170	249	1208
171	249	1202
172	250	1197
173	250	1191
174	251	1185
175	252	1180
176	252	1174
177	253	1169
178	253	1163
179	254	1158
180	255	1154
181	255	1149
182	256	1144
183	257	1140
184	257	1136
185	258	1130
186	258	1125
187	259	1120
188	260	1115
189	260	1110
190	261	1105
191	261	1101
192	262	1097
193	262	1092
194	263	1087
195	263	1082
196	264	1077
197	264	1073
198	265	1068
199	266	1064
200	266	1059
201	267	1055
202	267	1051
203	268	1048
204	269	1044
205	269	1040
206	270	1036
207	271	1031
208	271	1027
209	272	1024
210	272	1020
211	273	1017
212	274	1014
213	275	1010
214	275	1007
215	276	1003
216	277	999
217	277	996
218	278	992
219	278	988
220	279	984
221	279	981
222	280	977
223	281	973
224	281	970
225	282	967
226	283	964
227	283	961
228	284	958
229	285	955
230	285	952
231	286	948
232	287	945
233	287	942
234	288	938
235	288	935
236	289	932
237	290	928
238	290	925
239	291	922
240	291	918
241	292	915
242	292	912
243	293	908
244	293	905
245	294	902
246	295	900
247	296	898
248	296	894
249	297	892
250	298	889
251	298	886
252	299	884
253	300	882
254	301	880
255	302	878
256	302	875
257	303	872
258	304	869
259	304	867
260	305	864
261	306	862
262	307	860
263	307	858
264	308	855
265	309	852
266	309	850
267	310	847
268	310	845
269	311	842
270	312	839
271	312	837
272	313	834
273	313	831
274	314	828
275	314	826
276	315	823
277	315	820
278	316	817
279	317	815
280	317	813
281	318	810
282	318	807
283	319	804
284	319	802
285	320	799
286	320	797
287	321	794
288	321	792
289	322	789
290	323	787
291	324	785
292	324	783
293	325	781
294	326	779
295	326	776
296	327	774
297	327	772
298	328	769
299	328	767
300	329	764
301	329	762
302	330	759
303	330	757
304	331	755
305	331	752
306	332	750
307	333	748
308	333	746
309	334	744
310	334	741
311	335	739
312	336	738
313	337	736
314	337	733
315	338	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	719
322	342	716
323	342	714
324	343	712
325	343	710
326	343	707
327	344	705
328	345	704
329	346	702
330	346	700
331	347	698
332	347	696
333	348	694
334	349	692
335	349	691
336	350	689
337	351	688
338	351	686
339	352	684
340	353	682
341	353	680
342	354	678
343	354	676
344	355	675
345	356	673
346	356	671
347	357	669
348	357	667
349	358	665
350	358	663
351	359	661
352	360	660
353	360	658
354	361	656
355	361	654
356	362	652
357	363	651
358	363	649
359	364	647
360	365	646
361	365	644
362	366	642
363	366	641
364	367	639
365	368	637
366	368	635
367	369	634
368	369	632
369	370	630
370	370	628
371	371	627
372	372	625
373	372	623
374	373	622
375	374	620
376	375	620
377	375	618
378	376	616
379	377	615
380	377	613
381	378	612
382	379	610
383	379	608
384	380	607
385	380	605
386	381	603
387	381	602
388	382	600
389	382	598
390	383	596
391	383	595
392	384	593
393	384	591
394	385	590
395	385	588
396	386	586
397	386	585
398	387	583
399	388	582
400	389	581
401	389	579
402	390	578
403	390	576
404	391	575
405	392	573
406	392	572
407	393	570
408	393	568
409	394	567
410	394	565
411	395	564
412	395	562
413	396	560
414	396	559
415	397	557
416	397	555
417	397	554
418	398	552
419	398	550
420	399	549
421	399	547
422	400	546
423	401	544
424	401	543
425	402	541
426	402	540
427	403	539
428	404	537
429	404	536
430	405	535
431	405	533
432	406	532
433	406	530
434	407	529
435	407	527
436	408	526
437	408	524
438	409	523
439	409	521
440	410	519
441	410	518
442	411	517
443	411	515
444	412	514
445	412	512
446	413	511
447	414	510
448	414	508
449	415	507
450	416	506
451	416	505
452	417	503
453	417	502
454	418	501
455	418	499
456	419	498
457	419	496
458	420	495
459	421	494
460	421	492
461	422	491
462	422	490
463	423	488
464	423	487
465	424	485
466	424	484
467	424	483
468	425	481
469	426	480
470	427	479
471	428	478
472	428	477
473	429	476
474	429	474
475	430	473
476	430	472
477	431	471
478	431	469
479	432	468
480	432	466
481	433	465
482	433	464
483	434	463
484	435	462
485	435	460
486	436	459
487	436	457
488	436	456
489	437	455
490	437	453
491	438	452
492	438	451
493	439	450
494	440	449
495	440	447
496	441	446
497	441	445
498	442	444
499	443	443
500	443	441
501	444	440
502	444	439
503	445	438
504	445	437
505	446	435
506	446	434
507	447	433
508	448	432
509	448	431
510	449	429
511	449	428
512	450	427
513	451	426
514	451	425
515	452	424
516	452	423
517	453	422
518	454	421
519	454	419
520	455	418
521	455	417
522	456	416
523	456	415
524	457	414
525	458	413
526	458	411
527	459	410
528	459	409
529	460	408
530	460	406
531	461	405
532	461	404
533	462	403
534	462	402
535	463	401
536	463	399
537	464	398
538	464	397
539	465	396
540	466	395
541	466	394
542	467	393
543	467	392
544	468	391
545	469	390
546	469	389
547	470	388
548	471	387
549	471	386
550	472	385
551	473	383
552	473	382
553	474	381
554	474	380
555	475	379
556	475	378
557	476	377
558	477	376
559	477	375
560	478	374
561	478	373
562	479	372
563	480	371
564	480	370
565	481	369
566	482	368
567	482	367
568	483	366
569	483	365
570	484	363
571	485	362
572	485	361
573	486	360
574	486	359
575	487	358
576	487	357
577	488	356
578	488	355
579	489	354
580	490	353
581	490	352
582	491	351
583	491	350
584	492	349
585	492	348
586	493	347
587	494	346
588	494	345
589	495	344
590	496	343
591	497	342
592	497	341
593	498	340
594	499	339
595	499	338
596	500	337
597	500	336
598	501	335
599	501	334
600	502	333
601	502	332
602	503	331
603	504	330
604	504	329
605	505	328
606	505	327
607	506	326
608	507	325
609	508	324
610	508	323
611	509	322
612	509	321
613	510	321
614	511	320
615	512	319
616	512	318
617	513	317
618	514	316
619	514	315
620	515	314
621	515	313
622	516	312
623	516	311
624	517	310
625	518	309
626	518	308
627	519	307
628	519	306
629	520	305
630	521	304
631	521	303
632	522	302
633	523	302
634	523	301
635	524	300
636	525	299
637	525	298
638	526	297
639	526	296
640	527	295
641	528	294
642	528	293
643	529	292
644	529	291
645	530	290
646	530	289
647	531	288
648	531	287
649	531	286
650	532	285
651	533	284
652	533	283
653	534	282
654	534	281
655	535	280
656	535	279
657	536	278
658	537	277
659	537	277
660	538	276
661	539	275
662	539	274
663	540	273
664	540	272
665	541	271
666	542	270
667	542	269
668	543	268
669	543	267
670	544	266
671	544	265
672	545	264
673	546	264
674	546	263
675	547	262
676	548	261
677	548	260
678	549	259
679	550	258
680	550	257
681	551	257
682	552	256
683	552	255
684	553	254
685	553	253
686	554	252
687	555	251
688	555	250
689	556	249
690	556	248
691	557	248
692	557	247
693	558	246
694	559	245
695	559	244
696	560	243
697	561	242
698	561	241
699	562	241
700	563	240
701	564	239
702	564	238
703	565	237
704	565	236
705	566	235
706	567	235
707	567	234
708	568	233
709	568	232
710	569	231
711	569	230
712	570	229
713	570	228
714	571	227
715	571	226
716	572	225
717	572	225
718	573	224
719	574	223
720	574	222
721	575	221
722	576	220
723	576	219
724	577	218
725	577	218
726	578	217
727	579	216
728	579	215
729	580	214
730	580	213
731	581	212
732	581	211
733	582	211
734	582	210
735	583	209
736	583	208
737	584	207
738	584	206
739	585	205
740	586	204
741	586	204
742	587	203
743	588	202
744	589	201
745	589	200
746	590	200
747	591	199
748	591	198
749	592	197
750	593	196
751	593	195
752	594	194
753	594	194
754	595	193
755	595	192
756	596	191
757	596	190
758	597	189
759	597	188
760	598	187
761	598	187
762	599	186
763	600	185
764	600	184
765	601	183
766	602	182
767	602	182
768	603	181
769	603	180
770	604	179
771	605	178
772	605	177
773	606	177
774	607	176
775	607	175
776	608	174
777	608	173
778	609	172
779	610	172
780	610	171
781	610	170
782	611	169
783	611	168
