iter	Passed	Remaining
0	135	135432
1	136	68029
2	137	45542
3	137	34292
4	138	27538
5	138	23024
6	139	19809
7	140	17401
8	140	15524
9	141	14016
10	142	12782
11	142	11753
12	143	10886
13	144	10143
14	144	9498
15	145	8935
16	146	8442
17	146	8003
18	147	7610
19	148	7254
20	148	6936
21	149	6645
22	150	6378
23	150	6132
24	151	5905
25	152	5694
26	152	5499
27	153	5316
28	153	5149
29	154	4992
30	155	4846
31	155	4707
32	156	4577
33	156	4455
34	157	4341
35	158	4231
36	158	4129
37	159	4033
38	160	3944
39	160	3857
40	161	3774
41	162	3695
42	162	3620
43	163	3547
44	163	3478
45	164	3412
46	165	3348
47	165	3287
48	166	3229
49	166	3172
50	167	3119
51	168	3066
52	168	3016
53	169	2967
54	169	2920
55	170	2875
56	171	2831
57	171	2789
58	172	2750
59	173	2710
60	173	2673
61	174	2637
62	174	2602
63	175	2568
64	176	2535
65	176	2504
66	177	2472
67	178	2441
68	178	2411
69	179	2381
70	179	2353
71	180	2325
72	181	2299
73	181	2273
74	182	2248
75	182	2223
76	183	2199
77	184	2176
78	184	2153
79	185	2130
80	185	2109
81	186	2087
82	186	2064
83	187	2043
84	188	2024
85	188	2005
86	189	1987
87	190	1969
88	190	1951
89	191	1934
90	191	1917
91	192	1901
92	193	1885
93	193	1869
94	194	1853
95	195	1838
96	195	1824
97	196	1809
98	197	1795
99	198	1783
100	198	1769
101	199	1755
102	200	1741
103	200	1728
104	201	1715
105	201	1702
106	202	1689
107	203	1676
108	203	1665
109	204	1653
110	205	1642
111	205	1631
112	206	1619
113	206	1608
114	207	1597
115	208	1586
116	208	1574
117	209	1564
118	209	1553
119	210	1543
120	211	1533
121	211	1522
122	212	1512
123	212	1502
124	213	1493
125	213	1484
126	214	1474
127	215	1464
128	215	1456
129	216	1446
130	216	1437
131	217	1429
132	217	1420
133	218	1412
134	219	1404
135	219	1396
136	220	1388
137	221	1381
138	221	1374
139	222	1367
140	223	1359
141	223	1350
142	224	1343
143	224	1335
144	225	1328
145	225	1321
146	226	1313
147	226	1306
148	227	1299
149	228	1292
150	228	1285
151	229	1279
152	229	1272
153	230	1265
154	230	1259
155	231	1252
156	232	1246
157	232	1239
158	233	1234
159	233	1228
160	234	1221
161	235	1216
162	235	1210
163	236	1204
164	236	1199
165	237	1193
166	238	1187
167	238	1181
168	239	1176
169	239	1171
170	240	1165
171	241	1160
172	241	1154
173	242	1149
174	242	1143
175	243	1138
176	243	1133
177	244	1128
178	244	1122
179	245	1117
180	245	1112
181	246	1107
182	247	1102
183	247	1098
184	248	1093
185	248	1088
186	249	1084
187	250	1080
188	250	1076
189	251	1071
190	252	1067
191	252	1063
192	253	1058
193	253	1054
194	254	1049
195	254	1045
196	255	1041
197	255	1036
198	256	1032
199	257	1028
200	257	1024
201	258	1020
202	258	1015
203	259	1011
204	259	1007
205	260	1003
206	260	999
207	261	995
208	262	991
209	262	987
210	263	983
211	263	980
212	264	976
213	264	973
214	265	969
215	266	966
216	266	963
217	267	959
218	268	956
219	268	952
220	269	948
221	269	945
222	270	941
223	270	938
224	271	934
225	272	931
226	272	928
227	273	925
228	273	921
229	274	918
230	274	915
231	275	911
232	276	908
233	276	905
234	277	902
235	277	898
236	278	895
237	279	893
238	279	890
239	280	887
240	280	884
241	281	882
242	282	878
243	282	876
244	283	873
245	284	870
246	284	867
247	285	865
248	285	862
249	286	859
250	287	856
251	287	853
252	288	850
253	288	847
254	289	845
255	289	842
256	290	839
257	290	836
258	291	833
259	292	831
260	292	828
261	293	825
262	293	823
263	294	820
264	295	818
265	295	815
266	296	813
267	296	810
268	297	808
269	298	805
270	298	803
271	299	800
272	299	798
273	300	795
274	300	793
275	301	790
276	301	788
277	302	785
278	303	783
279	303	780
280	304	778
281	304	776
282	305	773
283	305	771
284	306	768
285	307	766
286	307	764
287	308	761
288	308	759
289	309	757
290	310	755
291	310	753
292	311	751
293	312	749
294	312	747
295	313	745
296	313	743
297	314	740
298	315	738
299	315	736
300	316	734
301	316	732
302	317	730
303	318	728
304	318	726
305	319	724
306	320	722
307	320	720
308	321	719
309	322	717
310	322	714
311	323	712
312	323	710
313	324	708
314	325	706
315	325	705
316	326	703
317	327	701
318	327	699
319	328	697
320	328	695
321	329	693
322	330	691
323	330	689
324	331	687
325	331	685
326	332	683
327	332	681
328	333	680
329	333	678
330	334	676
331	335	674
332	335	672
333	336	670
334	336	668
335	337	666
336	337	664
337	338	662
338	339	661
339	339	659
340	340	657
341	340	655
342	341	654
343	342	652
344	342	650
345	343	648
346	343	647
347	344	645
348	344	643
349	345	641
350	346	639
351	346	638
352	347	636
353	347	634
354	348	632
355	348	631
356	349	629
357	349	627
358	350	625
359	351	624
360	351	622
361	352	620
362	352	619
363	353	617
364	353	615
365	354	614
366	355	612
367	355	611
368	356	609
369	357	608
370	357	606
371	358	604
372	358	603
373	359	601
374	359	599
375	360	598
376	361	596
377	361	594
378	362	593
379	362	591
380	363	590
381	363	588
382	364	586
383	364	585
384	365	583
385	366	582
386	366	580
387	367	579
388	367	577
389	368	575
390	368	574
391	369	572
392	369	571
393	370	570
394	371	568
395	371	567
396	372	565
397	373	564
398	373	562
399	374	561
400	374	559
401	375	558
402	375	557
403	376	555
404	377	554
405	377	552
406	378	551
407	378	549
408	379	548
409	379	546
410	380	545
411	380	543
412	381	542
413	382	540
414	382	539
415	383	537
416	383	536
417	384	535
418	385	534
419	385	532
420	386	531
421	387	530
422	387	529
423	388	527
424	389	526
425	390	525
426	390	524
427	391	523
428	392	521
429	392	520
430	393	519
431	394	518
432	394	517
433	395	515
434	396	514
435	396	513
436	397	511
437	397	510
438	398	509
439	399	508
440	399	506
441	400	505
442	401	504
443	401	503
444	402	502
445	403	501
446	404	499
447	404	498
448	405	497
449	405	496
450	406	494
451	407	493
452	407	492
453	408	490
454	408	489
455	409	488
456	410	487
457	410	486
458	411	484
459	412	483
460	412	482
461	413	481
462	413	480
463	414	478
464	415	477
465	416	476
466	416	475
467	417	474
468	418	473
469	418	472
470	419	471
471	419	469
472	420	468
473	421	467
474	421	466
475	422	464
476	422	463
477	423	462
478	424	461
479	424	460
480	425	458
481	425	457
482	426	456
